GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
book-explorer,com.example.bookexplorer.service,AuthorCount,0,9,0,0,0,1,0,1,0,1
book-explorer,com.example.bookexplorer.service,BookServiceImpl,44,363,1,11,15,69,1,18,0,13
book-explorer,com.example.bookexplorer.service,StatsDto,0,15,0,0,0,1,0,1,0,1
book-explorer,com.example.bookexplorer,BookExplorerApplication,5,3,0,0,2,1,1,1,1,1
book-explorer,com.example.bookexplorer,AppConfig,7,0,0,0,2,0,2,0,2,0
book-explorer,com.example.bookexplorer.kafka,KafkaConfig,105,0,0,0,23,0,6,0,6,0
book-explorer,com.example.bookexplorer.kafka,BookMessage,35,51,0,0,9,18,9,9,9,9
book-explorer,com.example.bookexplorer.kafka,QuartzJobConfig,23,0,0,0,13,0,3,0,3,0
book-explorer,com.example.bookexplorer.kafka,BookProducerJob,63,0,4,0,14,0,5,0,3,0
book-explorer,com.example.bookexplorer.kafka,BookConsumer,76,0,0,0,16,0,3,0,3,0
book-explorer,com.example.bookexplorer.client,OpenLibraryClient,1,165,4,18,0,31,4,12,0,5
book-explorer,com.example.bookexplorer.exception,GlobalExceptionHandler,19,7,0,0,6,2,3,2,3,2
book-explorer,com.example.bookexplorer.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
book-explorer,com.example.bookexplorer.model,Subject,10,23,0,0,3,8,3,5,3,5
book-explorer,com.example.bookexplorer.model,SearchLog,31,12,0,0,9,5,9,1,9,1
book-explorer,com.example.bookexplorer.model,Book,7,90,0,0,2,24,2,16,2,16
book-explorer,com.example.bookexplorer.model,Author,11,22,0,0,3,8,3,5,3,5
book-explorer,com.example.bookexplorer.model,KafkaEvent,63,0,0,0,20,0,14,0,14,0
book-explorer,com.example.bookexplorer.controller,BookRestController,36,0,2,0,10,0,6,0,5,0
book-explorer,com.example.bookexplorer.controller,ExplorerController,0,64,0,0,0,14,0,3,0,3
